CustomerID,AccountNumber,CustomerType,SalesTerritoryGroup,SalesTerritory,AddressLine1,City,PostalCode
1,AW00000001,S,North America,Northwest,2251 Elliot Avenue,Seattle,98104
2,AW00000002,S,North America,Northwest,7943 Walnut Ave,Renton,98055
3,AW00000003,S,North America,Southwest,12345 Sterling Avenue,Irving,75061
4,AW00000004,S,North America,Southwest,800 Interchange Blvd.,Austin,78701
5,AW00000005,S,North America,Southwest,482505 Warm Springs Blvd.,Fremont,94536
6,AW00000006,S,North America,Southwest,39933 Mission Oaks Blvd,Camarillo,93010
7,AW00000007,S,North America,Northwest,5420 West 22500 South,Salt Lake City,84101
8,AW00000008,S,North America,Southeast,79945 Corporate Center Drive,Miami,33127
9,AW00000009,S,North America,Southeast,3333 Micro Drive,Millington,38054
10,AW00000010,S,North America,Canada,6388 Lake City Way,Burnaby,V5A 3A6
11,AW00000011,S,North America,Canada,52560 Free Street,Toronto,M4B 1V7
12,AW00000012,S,North America,Canada,22580 Free Street,Toronto,M4B 1V7
13,AW00000013,S,Europe,France,"7033, rue de Longchamp",Les Ulis,91940
14,AW00000014,S,Europe,Germany,Karl Liebknecht str 299,Frankfurt am Main,60075
15,AW00000015,S,Pacific,Australia,25 Epping Road,Lavender Bay,2060
16,AW00000016,S,Europe,United Kingdom,"93-2501, Blackfriars Road,",London,SE1 8HL
17,AW00000017,S,North America,Southeast,9920 Picketts Line Road,Newport News,23607
18,AW00000018,S,North America,Central,855 East Main Avenue,Zeeland,49464
19,AW00000019,S,North America,Northwest,1318 Lasalle Street,Bothell,98011
20,AW00000020,S,North America,Northwest,259826 Russell Rd. South,Kent,98031
21,AW00000021,S,North America,Southwest,90025 Sterling St,Irving,75061
22,AW00000022,S,North America,Central,2505 Gateway Drive,North Sioux City,57049
23,AW00000023,S,North America,Southwest,60025 Bollinger Canyon Road,San Ramon,94583
24,AW00000024,S,North America,Southwest,9992 Whipple Rd,Union City,94587
25,AW00000025,S,North America,Southwest,Corporate Office,El Segundo,90245
26,AW00000026,S,North America,Southeast,1 Corporate Center Drive,Miami,33127
27,AW00000027,S,North America,Southeast,100 Fifth Drive,Millington,38054
28,AW00000028,S,North America,Canada,2575 Bloor Street East,Toronto,M4B 1V6
29,AW00000029,S,North America,Canada,Station E,Chalk Riber,K0J 1J0
30,AW00000030,S,North America,Canada,575 Rue St Amable,Quebec,G1R
31,AW00000031,S,Europe,France,"21105, rue de Varenne",Paris,75013
32,AW00000032,S,Europe,Germany,Roßstr 2248,Stuttgart,70511
33,AW00000033,S,Pacific,Australia,Ctrcrt Bus Pk/995-27 Paul St N,Lavender Bay,2060
34,AW00000034,S,Europe,United Kingdom,"Science Park South, Birchwood",Warrington,WA3 7BH
35,AW00000035,S,North America,Northeast,2532 Fairgrounds Road,West Kingston,02892
36,AW00000036,S,North America,Northeast,6900 William Richardson Ct.,South Bend,46601
37,AW00000037,S,North America,Northwest,35525-9th Street Sw,Puyallup,98371
38,AW00000038,S,North America,Northwest,640 South 994th St. W.,Billings,59101
39,AW00000039,S,North America,Central,74400 France Avenue South,Edina,55436
40,AW00000040,S,North America,Southwest,509 Nafta Boulevard,Laredo,78040
41,AW00000041,S,North America,Southwest,25001 Montague Expressway,Milpitas,95035
42,AW00000042,S,North America,Southwest,4460 Newport Center Drive,Newport Beach,92625
43,AW00000043,S,North America,Northwest,2575 West 2700 South,Salt Lake City,84101
44,AW00000044,S,North America,Southeast,2525 Electrics Blvd.,Huntsville,35801
45,AW00000045,S,North America,Southeast,2550 High Street,La Vergne,37086
46,AW00000046,S,North America,Canada,2512-4th Ave Sw,Calgary,T2P 2G8
47,AW00000047,S,North America,Canada,55 Lakeshore Blvd East,Toronto,M4B 1V6
48,AW00000048,S,North America,Canada,6333 Cote Vertu,Montreal,H1Y 2H7
49,AW00000049,S,Europe,France,"69, boulevard Tremblay",Roncq,59223
50,AW00000050,S,Europe,Germany,Bundesallee 9571,Berlin,14197
51,AW00000051,S,Pacific,Australia,2-252 Beauchamp Road,Cloverdale,6105
52,AW00000052,S,Europe,United Kingdom,"Phoenix Way, Cirencester",Gloucestershire,GL7 1RY
53,AW00000053,S,North America,Northeast,99 Edgewater Drive,Norwood,02062
54,AW00000054,S,North America,Northeast,Attn: Accounts Payable,Melville,11747
55,AW00000055,S,North America,Northwest,25300 Biddle Road,Medford,97504
56,AW00000056,S,North America,Northwest,Gateway,Portland,97205
57,AW00000057,S,North America,Central,25149 Howard Dr,West Chicago,60185
58,AW00000058,S,North America,Central,63 W Monroe,Chicago,60610
59,AW00000059,S,North America,Southwest,70259 West Sunnyview Ave,Visalia,93291
60,AW00000060,S,North America,Southwest,60750 San Clemente,Hayward,94541
61,AW00000061,S,North America,Southwest,Receiving,Fullerton,92831
62,AW00000062,S,North America,Southeast,Po Box 08050,Nashville,37203
63,AW00000063,S,North America,Southeast,Po Box 2257,Greensboro,27412
64,AW00000064,S,North America,Canada,3255 Front Street West,Toronto,M4B 1V6
65,AW00000065,S,North America,Canada,2550 Signet Drive,Weston,M9V 4W3
66,AW00000066,S,North America,Canada,6777 Kingsway,Burnaby,V5H 3Z7
67,AW00000067,S,Europe,France,"12, rue des Grands Champs",Verrieres Le Buisson,91370
68,AW00000068,S,Europe,Germany,Auf Der Steige 29,Muehlheim,63151
69,AW00000069,S,Pacific,Australia,65 Epping Rd,Lavender Bay,2060
70,AW00000070,S,Europe,United Kingdom,255 Irving Street,London,C2H 7AU
71,AW00000071,S,North America,Northeast,225 Hyde Rd,Farmington,06032
72,AW00000072,S,North America,Northeast,6 Cotton Road,Nashua,03064
73,AW00000073,S,North America,Northwest,Great Northwestern,North Bend,98045
74,AW00000074,S,North America,Northwest,Washington Square,Portland,97205
75,AW00000075,S,North America,Southwest,Corporate Office,Garland,75040
76,AW00000076,S,North America,Central,25269 N. Wood Dale Rd,Wood Dale,60191
77,AW00000077,S,North America,Southwest,22555 Paseo De Las Americas,San Diego,92102
78,AW00000078,S,North America,Southwest,Incom Sports Center,Ontario,91764
79,AW00000079,S,North America,Central,"C/O Starpak, Inc.",Greeley,80631
80,AW00000080,S,North America,Southeast,One Equinox Way,Sunrise,33322
81,AW00000081,S,North America,Southeast,2561 Nw 8410th Avenue,Miami,33127
82,AW00000082,S,North America,Canada,5250-505 Burning St,Vancouver,V7L 4J4
83,AW00000083,S,North America,Canada,600 Slater Street,Ottawa,K4B 1S2
84,AW00000084,S,North America,Canada,25575 The Queensway,Etobicoke,M9W 3P3
85,AW00000085,S,Europe,France,"121, rue de Varenne",Courbevoie,92400
86,AW00000086,S,Europe,Germany,Hellweg 4934,Essen,45001
87,AW00000087,S,Pacific,Australia,99 - 6 Orion Road,Lane Cove,1597
88,AW00000088,S,Europe,United Kingdom,"Garamonde Drive, Wymbush",Milton Keynes,MK8 8ZD
89,AW00000089,S,North America,Northeast,5998 E Lorain,Oberlin,44074
90,AW00000090,S,North America,Southeast,Corporate Ofc A/p,Chantilly,20151
91,AW00000091,S,North America,Northwest,258101 Nw Evergreen Parkway,Beaverton,97005
92,AW00000092,S,North America,Northwest,253950 N.E. 178th Place,Woodinville,98072
93,AW00000093,S,North America,Southwest,Sapp Road West,Round Rock,78664
94,AW00000094,S,North America,Southwest,52500 Liberty Way,Fort Worth,76102
95,AW00000095,S,North America,Southwest,5967 W Las Positas Blvd,Pleasanton,94566
96,AW00000096,S,North America,Southwest,25600 E St Andrews Pl,Santa Ana,92701
97,AW00000097,S,North America,Southwest,6756 Mowry,Newark,94560
98,AW00000098,S,North America,Southeast,8525 Nw 17th St.,Miami,33127
99,AW00000099,S,North America,Southeast,9876 Fruitville Rd,Sarasota,34236
100,AW00000100,S,North America,Canada,2521 McPherson Street,Markham,L3S 3K2
101,AW00000101,S,North America,Canada,2560 Bay Street,Toronto,M4B 1V7
102,AW00000102,S,North America,Canada,630 University Avenue,Toronto,M4B 1V7
103,AW00000103,S,Europe,France,"22, rue du Départ",Pantin,93500
104,AW00000104,S,Europe,Germany,Kurfürstenstr 9,Duesseldorf,40605
105,AW00000105,S,Pacific,Australia,2565-175 Mitchell Road,Alexandria,2015
106,AW00000106,S,Europe,United Kingdom,251 The Metro Center,Wokingham,RG41 1QW
107,AW00000107,S,North America,Northeast,58 Teed Drive,Randolph,02368
108,AW00000108,S,North America,Northeast,63 Badgers Island West,Kittery,03904
109,AW00000109,S,North America,Northwest,755 Nw Grandstand,Issaquah,98027
110,AW00000110,S,North America,Northwest,22571 South 2500 East,Idaho Falls,83402
111,AW00000111,S,North America,Central,25550 Executive Dr,Elgin,60120
112,AW00000112,S,North America,Southwest,P.O. Box 6256916,Dallas,75201
113,AW00000113,S,North America,Southwest,25472 Marlay Ave,Fontana,92335
114,AW00000114,S,North America,Southwest,77 Beale Street,San Francisco,94109
115,AW00000115,S,North America,Northwest,910 Main Street.,Sparks,89431
116,AW00000116,S,North America,Southeast,42500 West Park Drive,Atlanta,30308
117,AW00000117,S,North America,Southeast,6055 Shawnee Industrial Way,Suwanee,30024
118,AW00000118,S,North America,Canada,992 St Clair Ave East,Toronto,M4B 1V7
119,AW00000119,S,North America,Canada,"99, Rue Saint-pierre",Pnot-Rouge,J1E 2T7
120,AW00000120,S,North America,Canada,25245 Rue Sherbrooke Ouest,Montreal,H1Y 2H5
121,AW00000121,S,Europe,France,"6, rue des Pyrenees",Saint Ouen,41100
122,AW00000122,S,Europe,Germany,Postfach 11 09 00,Berlin,14111
123,AW00000123,S,Pacific,Australia,Chabbell Park,North Ryde,2113
124,AW00000124,S,Europe,United Kingdom,Bradford,W. York,BD1 4SJ
125,AW00000125,S,North America,Northeast,9963 Tresser Blvd.,Stamford,06901
126,AW00000126,S,North America,Northeast,P.O. Box 9005,Endicott,13760
127,AW00000127,S,North America,Northwest,257700 Ne 76th Street,Redmond,98052
128,AW00000128,S,North America,Northwest,25102 Springwater,Wenatchee,98801
129,AW00000129,S,North America,Central,25269 Wood Dale Rd.,Wood Dale,60191
130,AW00000130,S,North America,Southwest,9178 Jumping St.,Dallas,75201
131,AW00000131,S,North America,Southwest,2500 N Serene Blvd,El Segundo,90245
132,AW00000132,S,North America,Central,5650 West 88th Ave.,Westminster,80030
133,AW00000133,S,North America,Southwest,9700 Sisk Road,Modesto,95354
134,AW00000134,S,North America,Southeast,Tom Morris,Millington,38054
135,AW00000135,S,North America,Southeast,C/O Arrow Electronics,Memphis,38103
136,AW00000136,S,North America,Canada,655-4th Ave S.W.,Calgary,T2P 2G8
137,AW00000137,S,North America,Canada,25900-700-9th Ave S.W.,Calgary,T2P 2G8
138,AW00000138,S,North America,Canada,Po Box 83270,Vancouver,V7L 4J4
139,AW00000139,S,Europe,France,"5, place de la Concorde",Colombes,92700
140,AW00000140,S,Europe,Germany,Haberstr 29,Bonn,53131
141,AW00000141,S,Pacific,Australia,2520b Underwood Street,Lavender Bay,2060
142,AW00000142,S,Europe,United Kingdom,Galashiels,Scotland,TD1 3HE
143,AW00000143,S,North America,Northeast,Saltonstall Parkway,East Haven,06512
144,AW00000144,S,North America,Northeast,123 Union Square South,New York,10007
145,AW00000145,S,North America,Northwest,Bldg. 9n/99298,Redmond,98052
146,AW00000146,S,North America,Northwest,4251 First Avenue,Seattle,98104
147,AW00000147,S,North America,Central,42500 W 76th St,Chicago,60610
148,AW00000148,S,North America,Central,4255 East Lies Road,Carol Stream,60188
149,AW00000149,S,North America,Central,789 West Alameda,Westminster,80030
150,AW00000150,S,North America,Southwest,54254 Pacific Ave.,Stockton,95202
151,AW00000151,S,North America,Southwest,25136 Jefferson Blvd.,Culver City,90232
152,AW00000152,S,North America,Southeast,Park North Business Center,Clarkston,30021
153,AW00000153,S,North America,Southeast,23456 Calumet St,Clearwater,33755
154,AW00000154,S,North America,Canada,400-25155 West Pender St,Vancouver,V7L 4J4
155,AW00000155,S,North America,Canada,2511 Baker Road,Toronto,M4B 1V7
156,AW00000156,S,North America,Canada,770 Notre Datme Quest Bureau 800,Montreal,H1Y 2H7
157,AW00000157,S,Europe,France,"36, avenue de la Gare",Paris,75019
158,AW00000158,S,Europe,Germany,Auf der Krone 53,Bonn,53131
159,AW00000159,S,Pacific,Australia,65 Epping Road,North Ryde,2113
160,AW00000160,S,Europe,United Kingdom,Banbury,Oxon,OX16 8RS
161,AW00000161,S,North America,Northeast,42522 Northrupp,Fort Wayne,46807
162,AW00000162,S,North America,Northeast,675 East Ave.,Warwick,02889
163,AW00000163,S,North America,Northwest,558 S 6th St,Klamath Falls,97601
164,AW00000164,S,North America,Northwest,994 Sw Cherry Park Rd,Troutdale,97060
165,AW00000165,S,North America,Southwest,2500 North Stemmons Freeway,Dallas,75201
166,AW00000166,S,North America,Southwest,220 Mercy Drive,Garland,75040
167,AW00000167,S,North America,Southwest,99000 S. Avalon Blvd. Suite 750,Carson,90746
168,AW00000168,S,North America,Southwest,72502 Eastern Ave.,Bell Gardens,90201
169,AW00000169,S,North America,Northwest,2560 E. Newlands Dr,Fernley,89408
170,AW00000170,S,North America,Southeast,"6555 Quince Road, Suite 2025",Memphis,38103
171,AW00000171,S,North America,Southeast,2025 Greenwood Ct,Mcdonough,30253
172,AW00000172,S,North America,Canada,250551 Shellbridge Way,Richmond,V6B 3P7
173,AW00000173,S,North America,Canada,595 Burning Street,Vancouver,V7L 4J4
174,AW00000174,S,North America,Canada,252345 8810th Avenue,Surrey,V3T 4W3
175,AW00000175,S,Europe,France,"26, rue Saint Denis",Orleans,45000
176,AW00000176,S,Europe,Germany,Winterfeldtstr 5557,Münster,48001
177,AW00000177,S,Pacific,Australia,5525 Glenferrie Road,Hawthorne,4171
178,AW00000178,S,Europe,United Kingdom,Bradford,W. York,BD1 4SJ
179,AW00000179,S,North America,Northeast,77993 Mentor Ave.,Mentor,44060
180,AW00000180,S,North America,Central,9920 North Telegraph Rd.,Pontiac,48342
181,AW00000181,S,North America,Northwest,25718 Se Sunnyside Rd,Clackamas,97015-6403
182,AW00000182,S,North America,Northwest,567 Sw Mcloughlin Blvd,Milwaukie,97222
183,AW00000183,S,North America,Central,25 N State St,Chicago,60610
184,AW00000184,S,North America,Southwest,2509 W. Frankford,Carrollton,75006
185,AW00000185,S,North America,Southwest,630 N. Capitol Ave.,San Jose,95112
186,AW00000186,S,North America,Southwest,4660 Rodeo Road,Santa Fe,87501
187,AW00000187,S,North America,Southwest,251340 E. South St.,Cerritos,90703
188,AW00000188,S,North America,Southeast,83995 South Dixie Highway,Miami,33127
189,AW00000189,S,North America,Southeast,39950 Airport Blvd.,Mobile,36602
190,AW00000190,S,North America,Canada,2512-410th Avenue S.W.,Calgary,T2P 2G8
191,AW00000191,S,North America,Canada,258 King Street East,Toronto,M4B 1V7
192,AW00000192,S,North America,Canada,6th Floor Ferguson Block,Toronto,M4B 1V7
193,AW00000193,S,Europe,France,"68081, place du Tertre",Colomiers,31770
194,AW00000194,S,Europe,Germany,Alte Landstr 776,München,80074
195,AW00000195,S,Pacific,Australia,2253 Miller Street,North Sydney,2055
196,AW00000196,S,Europe,United Kingdom,"Garamonde Drive, Wymbush",Milton Keynes,MK8 8ZD
197,AW00000197,S,North America,Central,46460 West Oaks Drive,Novi,48375
198,AW00000198,S,North America,Central,997000 Telegraph Rd.,Southfield,48034
199,AW00000199,S,North America,Northwest,490 Ne 4th St,Renton,98055
200,AW00000200,S,North America,Northwest,15 East Main,Port Orchard,98366
201,AW00000201,S,North America,Southwest,Po Box 8035996,Dallas,75201
202,AW00000202,S,North America,Southwest,5700 Legacy Dr,Plano,75074
